Region,Total_,Incidence rate (per 100 000),Relative incidence rate,Confirmed,Probable,Deceased
Auckland,76,14.10,3.06,76,0,0
Bay of Plenty,0, 0.00,0.00,0,0,0
Canterbury,15, 2.66,0.58,15,0,0
Capital and Coast,0, 0.00,0.00,0,0,0
Counties Manukau,96,17.21,3.74,95,1,0
Hawke's Bay,0, 0.00,0.00,0,0,0
Hutt Valley,2, 1.34,0.29,2,0,0
Lakes,0, 0.00,0.00,0,0,0
Midcentral,0, 0.00,0.00,0,0,0
Nelson Marlborough,0, 0.00,0.00,0,0,0
Northland,0, 0.00,0.00,0,0,0
South Canterbury,0, 0.00,0.00,0,0,0
Southern,0, 0.00,0.00,0,0,0
Tairawhiti,0, 0.00,0.00,0,0,0
Taranaki,0, 0.00,0.00,0,0,0
Waikato,2, 0.48,0.10,2,0,0
Wairarapa,0, 0.00,0.00,0,0,0
Waitemata,34, 5.46,1.19,34,0,0
West Coast,0, 0.00,0.00,0,0,0
Whanganui,0, 0.00,0.00,0,0,0
New Zealand,225, 4.61,1.00,224,1,0
