ESR Covid-19 Dashboard,,,
Data downloaded: 15/08/2020 23:36,,,
,,,
Imported cases,,,
Age group (years),Gender,Cases,Percentage
<1,All,1, 0.16
<1,Male,1, 0.16
<1,Female,0, 0.00
1-4,All,3, 0.47
1-4,Male,1, 0.16
1-4,Female,2, 0.31
5-19,All,17, 2.65
5-19,Male,6, 0.94
5-19,Female,11, 1.72
20-34,All,298,46.49
20-34,Male,131,20.44
20-34,Female,167,26.05
35-49,All,99,15.44
35-49,Male,56, 8.74
35-49,Female,43, 6.71
50-64,All,140,21.84
50-64,Male,81,12.64
50-64,Female,59, 9.20
65-79,All,80,12.48
65-79,Male,47, 7.33
65-79,Female,33, 5.15
>=80,All,3, 0.47
>=80,Male,2, 0.31
>=80,Female,1, 0.16
Unknown,All,0, 0.00
Unknown,Male,0, 0.00
Unknown,Female,0, 0.00
,,,
Import-related cases,,,
Age group (years),Gender,Cases,Percentage
<1,All,2, 0.44
<1,Male,2, 0.44
<1,Female,0, 0.00
1-4,All,8, 1.75
1-4,Male,1, 0.22
1-4,Female,7, 1.53
5-19,All,54,11.82
5-19,Male,26, 5.69
5-19,Female,28, 6.13
20-34,All,120,26.26
20-34,Male,52,11.38
20-34,Female,68,14.88
35-49,All,105,22.98
35-49,Male,39, 8.53
35-49,Female,66,14.44
50-64,All,119,26.04
50-64,Male,58,12.69
50-64,Female,61,13.35
65-79,All,34, 7.44
65-79,Male,19, 4.16
65-79,Female,15, 3.28
>=80,All,15, 3.28
>=80,Male,8, 1.75
>=80,Female,7, 1.53
Unknown,All,0, 0.00
Unknown,Male,0, 0.00
Unknown,Female,0, 0.00
,,,
Locally acquired cases, epidemiologically linked,,,
Age group (years),Gender,Cases,Percentage
<1,All,3, 0.72
<1,Male,2, 0.48
<1,Female,1, 0.24
1-4,All,9, 2.17
1-4,Male,7, 1.69
1-4,Female,2, 0.48
5-19,All,70,16.91
5-19,Male,17, 4.11
5-19,Female,53,12.80
20-34,All,115,27.78
20-34,Male,42,10.14
20-34,Female,73,17.63
35-49,All,92,22.22
35-49,Male,34, 8.21
35-49,Female,58,14.01
50-64,All,77,18.60
50-64,Male,28, 6.76
50-64,Female,49,11.84
65-79,All,29, 7.00
65-79,Male,14, 3.38
65-79,Female,15, 3.62
>=80,All,19, 4.59
>=80,Male,8, 1.93
>=80,Female,11, 2.66
Unknown,All,0, 0.00
Unknown,Male,0, 0.00
Unknown,Female,0, 0.00
,,,
Locally acquired cases, unknown source,,,
Age group (years),Gender,Cases,Percentage
<1,All,0, 0.00
<1,Male,0, 0.00
<1,Female,0, 0.00
1-4,All,1, 1.12
1-4,Male,0, 0.00
1-4,Female,1, 1.12
5-19,All,0, 0.00
5-19,Male,0, 0.00
5-19,Female,0, 0.00
20-34,All,21,23.60
20-34,Male,8, 8.99
20-34,Female,13,14.61
35-49,All,19,21.35
35-49,Male,5, 5.62
35-49,Female,14,15.73
50-64,All,28,31.46
50-64,Male,14,15.73
50-64,Female,14,15.73
65-79,All,18,20.22
65-79,Male,12,13.48
65-79,Female,6, 6.74
>=80,All,2, 2.25
>=80,Male,1, 1.12
>=80,Female,1, 1.12
Unknown,All,0, 0.00
Unknown,Male,0, 0.00
Unknown,Female,0, 0.00
